                  Lat              Lon      Alt        I_fact            dI            N                  Нас.пункт
                54.854           58.422      350        4.6829        0.3005            9                  Юрюзань
                54.938           58.809      660        3.4000        1.1000            2                    Бакал
                54.912           57.321      170        8.0000        0.0000            1              Новозаречный
                54.903           58.350      350        5.4167        1.7717            1                  Вязовая
                54.618           58.282      510        4.9287        0.6780           10              Верх-Катавка
                55.012           57.989      400        4.7000        0.9092            1                 Кропачева
                54.858           57.860      360        3.9639        0.4676            5                 Серпиевка
                54.753           58.196      450        5.7726        2.2806           11            Катав-Ивановск
                54.624           57.859      470        3.6045        0.6581            4                    Лемеза
                54.871           58.089      320        4.9563        1.3303            5                   Орловка
                54.930           58.175      370        4.4802        0.6950            4                Усть-катав
                54.655           57.694      450        4.3528        0.7104            1                  Бедярыш
                55.534           58.244      220        4.3125        1.3429            2                Месягутово
                55.071           57.548      190        3.8000        2.3000           23                    Миньяр
                54.778           57.992      433        3.8889        1.4387            1                Карауловка
                54.694           57.913      523        5.2500        1.3614            1                   Анновка
                54.889           57.891      400        4.6667        1.0614            1                 Аратское
                54.735           55.959      150        3.6582        1.3007           35                      Уфа
                57.412           56.992      130        4.9167        1.8615            1                   Кунгур
                57.417           57.043      140        5.0833        2.5536            1       Зыковка(кунгур.р-н)
                57.471           57.003      130        4.7500        1.0897            1    Полетаево(кунгур.р-н)
                55.040           59.028      430        4.0694        0.5871            3                     Сатка
                54.991           57.278      130        4.0056        2.6708            1                       Аша
                54.658           60.907      230        4.1667        0.8684            1                   Коельга
                55.171           59.673      500        4.8333        0.9062            1                  Златоуст
                54.771           58.697      450        4.2037        1.1004            7                    Меседа
                54.818           58.459      420        4.8000        1.0000            1                Трехгорный
                55.046           60.108      360        4.1000        1.7000           10                     Миасс
                54.880           58.820      540        3.6000        0.7000            2                 Рудничный
                54.991           57.690      210        4.8000        0.7000            5                      Сим
                54.083           61.560      180        4.7667        1.5615            2                    Троицк
                55.154           61.429      230        4.7000        0.7000            4                 Челябинск
                54.977           60.370      330        4.2764        0.6739            4                Чебаркуль
            54.8541782       61.3553208      240        2.0000        1.0000            1              Новобатурино
             54.446199        60.395641      215        2.0000        1.0000            1                 Печёркино
            54.8277933       61.5860445      230        2.0000        1.0000            5                    Еткуль
             57.985237        56.243296      100        3.8000        0.6000            3                     Пермь
             57.685629       56.4342051      160        3.5000        1.0000            1                     Янычи
                56.612           57.763      230        3.5000        1.8000            8              Красноуфимск
              53.41861         59.04722      380        4.7000        3.3000           18              Магнитогорск
              53.62462         55.95015      150        2.0000        1.0000            2               Стерлитомак
             55.193785        56.693596      370        4.1000        0.8000            2                Первомайск
            55.3881557        56.655421      120        4.6000        0.8000            2              Красный ключ
             55.193785        56.693596      230        6.0000        2.6000            3                  Павловка
              55.14468        57.002578      130        4.7000        1.1000            2               Новый субай
             55.193785        56.693596      135        4.1000        0.7000            2             красная горка
             54.754719        61.320831      220        3.8000        1.0000            1               Еманжелинск
